 # Time [s], c_{ex}/c_{th}, total number of produced vacancies/c_{th}, total number of annihilated vacancies /c_{th}
                            0.000000E+00                                     NaN                                Infinity                                Infinity
                            0.420541E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.425610E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.430703E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.435086E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.440223E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.445383E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.450568E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.455031E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.460260E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.465515E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.470038E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.475339E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.480665E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.485250E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.490624E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.495250E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.500671E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.505339E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.510026E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.515520E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.520249E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.524999E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.530566E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.535359E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.540172E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.545006E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.550671E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.555550E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.560450E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.565370E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.570312E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
