 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             2774.503805                            0.119253E-02                            0.120000E+00****************************************                            0.000000E+00                            0.685227E-01                            0.000000E+00
                                0.001000                             2774.503844                            0.119253E-02                            0.120000E+00                            0.215661E+01                            0.600031E-29                            0.685227E-01                            0.000000E+00
                                0.099000                             2774.507712                            0.119253E-02                            0.120001E+00                            0.215665E+01                            0.597711E-29                            0.685226E-01                            0.000000E+00
                                0.199000                             2774.511659                            0.119253E-02                            0.120001E+00                            0.215670E+01                            0.595377E-29                            0.685225E-01                            0.000000E+00
                                0.299000                             2774.515606                            0.119253E-02                            0.120002E+00                            0.215674E+01                            0.593051E-29                            0.685224E-01                            0.000000E+00
                                0.399000                             2774.519553                            0.119253E-02                            0.120002E+00                            0.215678E+01                            0.590734E-29                            0.685223E-01                            0.000000E+00
                                0.499000                             2774.523499                            0.119253E-02                            0.120003E+00                            0.215683E+01                            0.588427E-29                            0.685222E-01                            0.000000E+00
                                0.599000                             2774.527446                            0.119253E-02                            0.120003E+00                            0.215687E+01                            0.586128E-29                            0.685221E-01                            0.000000E+00
                                0.699001                             2774.531392                            0.119253E-02                            0.120004E+00                            0.215691E+01                            0.583838E-29                            0.685220E-01                            0.000000E+00
                                0.799001                             2774.535339                            0.119253E-02                            0.120004E+00                            0.215696E+01                            0.581557E-29                            0.685219E-01                            0.000000E+00
                                0.899001                             2774.539285                            0.119253E-02                            0.120005E+00                            0.215700E+01                            0.579285E-29                            0.685218E-01                            0.000000E+00
                                0.999000                             2774.543231                            0.119253E-02                            0.120005E+00                            0.215705E+01                            0.577021E-29                            0.685217E-01                            0.000000E+00
                                1.099001                             2774.547177                            0.119253E-02                            0.120006E+00                            0.215709E+01                            0.574767E-29                            0.685216E-01                            0.000000E+00
