 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                              220.123303                             1145.184915                            0.133039E-01                            0.993237E-01                           -0.117175E+00                            0.153992E+13                            0.726888E-01                            0.000000E+00
                              225.081704                             1142.839068                            0.133038E-01                            0.988440E-01                           -0.117911E+00                            0.154310E+13                            0.727832E-01                            0.000000E+00
                              230.067692                             1140.487367                            0.133038E-01                            0.983654E-01                           -0.118653E+00                            0.154626E+13                            0.728773E-01                            0.000000E+00
                              235.081488                             1138.129807                            0.133037E-01                            0.978877E-01                           -0.119402E+00                            0.154940E+13                            0.729710E-01                            0.000000E+00
                              240.123312                             1135.766390                            0.133037E-01                            0.974112E-01                           -0.120156E+00                            0.155251E+13                            0.730645E-01                            0.000000E+00
                              245.193387                             1133.397120                            0.133036E-01                            0.969356E-01                           -0.120917E+00                            0.155559E+13                            0.731577E-01                            0.000000E+00
                              250.291939                             1131.022010                            0.133035E-01                            0.964611E-01                           -0.121684E+00                            0.155866E+13                            0.732506E-01                            0.000000E+00
                              255.116793                             1128.781293                            0.133035E-01                            0.960155E-01                           -0.122411E+00                            0.156151E+13                            0.733377E-01                            0.000000E+00
                              260.271276                             1126.394904                            0.133034E-01                            0.955430E-01                           -0.123190E+00                            0.156453E+13                            0.734300E-01                            0.000000E+00
                              265.149182                             1124.143622                            0.133033E-01                            0.950993E-01                           -0.123929E+00                            0.156734E+13                            0.735166E-01                            0.000000E+00
                              270.053108                             1121.887266                            0.133031E-01                            0.946565E-01                           -0.124674E+00                            0.157013E+13                            0.736029E-01                            0.000000E+00
                              275.292261                             1119.484369                            0.133030E-01                            0.941870E-01                           -0.125471E+00                            0.157307E+13                            0.736943E-01                            0.000000E+00
                              280.250480                             1117.217673                            0.133028E-01                            0.937462E-01                           -0.126228E+00                            0.157581E+13                            0.737801E-01                            0.000000E+00
                              285.235331                             1114.946041                            0.133026E-01                            0.933063E-01                           -0.126991E+00                            0.157853E+13                            0.738656E-01                            0.000000E+00
                              290.247017                             1112.669530                            0.133024E-01                            0.928673E-01                           -0.127759E+00                            0.158123E+13                            0.739508E-01                            0.000000E+00
                              295.285744                             1110.388205                            0.133022E-01                            0.924292E-01                           -0.128534E+00                            0.158390E+13                            0.740358E-01                            0.000000E+00
                              300.034293                             1108.245155                            0.133020E-01                            0.920195E-01                           -0.129266E+00                            0.158638E+13                            0.741152E-01                            0.000000E+00
                              305.126004                             1105.954715                            0.133017E-01                            0.915833E-01                           -0.130052E+00                            0.158900E+13                            0.741996E-01                            0.000000E+00
                              310.245372                             1103.659694                            0.133014E-01                            0.911480E-01                           -0.130845E+00                            0.159160E+13                            0.742838E-01                            0.000000E+00
